Radius,Volume,Density,Mass,Radiated Energy,Impact Energy
0.0,0.0,3.0,704169.3,190437.5,20.8
0.0,0.0,2.4,1862751.9,3749988.0,27.8
14.0,11495.5,3.0,256.6,100041.3,7.3
26.0,73631.7,5.0,67.9,100041.3,10.2
65.0,1150495.7,3.0,2.6,100041.3,23.2
42.5,321596.8,5.0,15.5,100041.3,12.8
27.0,82458.6,5.0,60.6,100041.3,10.8
0.2,0.1,3.0,57875.3,915.1,2.2
9.5,3591.8,5.0,1392.0,45810.0,4.3
2.2,47.7,5.0,104.8,12264.8,1.2
0.0,0.0,2.4,50294.3,311.9,1.5
3.0,113.1,3.0,26080.3,16037.3,3.1
6.5,1150.5,2.4,2086.1,38456.7,3.9
2.8,87.1,2.4,27546.6,16073.4,2.6
0.4,0.3,2.4,6959.8,1818.1,0.5
0.2,0.0,2.4,50294.3,961.6,1.7
3.0,113.1,5.0,44204.0,16086.9,3.7
4.0,268.1,2.4,8951.3,23105.4,3.2
3.5,179.6,2.4,13361.7,19438.2,2.3
20.0,33514.7,5.0,149.2,100049.8,7.4
